LIMIT_BAL,LIMIT_BAL_CAT,EDUCATION,MARRIAGE,AGE,AGE_CAT,SEX,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,AVG_PAYMENT,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
110000,moderate,graduateschool,single,26,young,female,0,0,0,0,0,0,0,111306,111038,87820,67259,50007,51202,3931,2885,2212,1789,2000,2000,1
100000,moderate,university,married,44,senior,female,0,-1,-1,-1,-1,-1,-1,1603,1440,1440,1440,1440,6059,1440,1440,1440,1440,6059,1440,1
30000,low,highschool,married,29,young,female,0,0,2,2,2,2,1,10456,13164,12668,15038,14502,15501,3200,0,2905,0,1386,0,0
50000,low,graduateschool,single,39,senior,male,3,3,2,2,2,-2,2,65766,59702,55899,54275,20280,20038,0,2100,0,62013,858,869,1
170000,moderate,university,married,49,senior,female,1,2,0,0,0,0,0,153322,149027,150920,145689,33588,0,0,6320,5045,1000,0,0,0
140000,moderate,graduateschool,married,56,senior,female,0,0,0,0,0,0,0,136084,138468,93802,94531,96264,98135,6500,4300,3500,3600,3881,4200,0
20000,low,graduateschool,single,29,young,male,2,2,3,2,2,2,2,10512,12044,11562,11080,11700,12357,2000,0,0,800,1000,500,0
170000,moderate,university,single,28,young,female,-1,0,0,2,0,0,0,2948,3848,5646,5464,5577,5889,1105,1903,0,296,500,95,0
100000,moderate,graduateschool,single,32,midage,male,0,0,0,0,0,0,0,83845,87580,84140,86400,87275,89082,4500,3300,3881,2500,2519,2700,1
50000,low,university,single,24,young,male,0,0,0,0,0,0,0,18684,19690,21021,22067,22896,23873,1323,1654,1700,1500,1500,1000,1
60000,low,graduateschool,single,33,midage,female,0,0,2,0,-1,-1,0,11237,20978,12861,7888,7463,3192,10000,0,0,7463,6384,18704,0
90000,moderate,university,single,28,young,female,2,0,0,0,2,0,1,48177,49563,47750,47169,46284,47519,2500,2500,3700,0,2200,1800,0
160000,moderate,graduateschool,single,34,midage,male,-2,-2,-2,-1,-1,-2,-2,0,150,1397,690,0,0,150,1397,690,0,0,0,1
500000,high,graduateschool,married,58,senior,male,-2,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,1
90000,moderate,university,single,26,young,female,0,0,0,0,0,0,0,83900,84236,79623,70039,70962,71013,4022,2917,2500,2451,2600,2700,0
130000,moderate,highschool,married,34,midage,female,1,2,2,2,2,0,2,126701,129388,130768,131858,125874,127988,6200,5000,4732,0,5000,5000,0
180000,moderate,graduateschool,married,28,young,male,2,3,2,0,0,0,1,187205,182435,131327,131288,100116,86644,5,0,7326,4124,8693,0,1
280000,high,graduateschool,single,28,young,female,1,-1,-1,0,-1,-1,0,0,5072,4872,4284,4322,9887,5072,4900,0,4322,9887,49300,0
200000,high,university,single,25,young,male,0,0,0,0,0,0,0,107001,108619,110149,110333,85201,84809,5000,5000,5000,3000,5000,10000,0
30000,low,university,single,23,young,male,0,0,0,0,0,0,0,26725,28289,29489,30237,30504,29771,2000,2000,1502,1112,1100,2000,1
500000,high,graduateschool,single,39,senior,female,-2,-2,-2,-1,0,-1,-1,1950,2900,1950,2739,2739,170,2900,2000,2739,0,170,205,0
250000,high,graduateschool,married,37,midage,male,1,2,0,0,0,0,0,206430,210029,214868,218593,159789,163454,8300,9500,9000,5500,6000,13000,1
50000,low,highschool,married,35,midage,female,3,2,2,2,0,0,2,34440,32823,34699,30869,29890,29719,0,3511,0,1045,1066,1134,1
20000,low,highschool,married,54,senior,female,2,0,0,2,2,2,1,14381,16174,18210,19335,19715,20249,2350,2300,1721,1000,1000,1000,1
390000,high,graduateschool,single,25,young,female,0,0,0,0,0,0,0,21382,19133,19327,26992,33483,37465,4000,5000,11417,10000,10000,5000,1
100000,moderate,graduateschool,single,29,young,male,-2,-2,-2,-2,-2,-2,-2,390,390,390,780,0,599,390,390,780,0,599,0,0
20000,low,graduateschool,single,22,young,female,0,0,0,0,0,0,0,12404,13694,14768,15518,16265,16706,1500,1300,1000,1000,711,1000,1
70000,moderate,highschool,0,26,young,male,1,2,2,0,0,0,1,39073,40154,39214,39861,41063,42918,2000,0,1600,2000,2700,1500,0
20000,low,university,single,26,young,male,-1,-1,-1,-1,-1,-1,-1,1439,1261,390,540,540,540,1261,390,540,540,540,780,1
350000,high,university,single,31,midage,male,0,0,0,0,0,0,0,360347,357139,272072,267277,255680,261573,13100,10000,10000,8200,9000,9000,1
270000,high,graduateschool,married,40,senior,male,0,0,0,0,0,0,0,3686,4699,5718,6727,6861,7005,1084,1103,1112,246,255,651,1
150000,moderate,graduateschool,married,33,midage,female,0,0,0,0,0,0,0,50286,110884,113152,116097,118500,120896,61101,3210,3911,3354,3400,3500,1
230000,high,graduateschool,married,41,senior,male,-1,-1,-1,-2,-2,-2,-2,9360,9650,0,0,0,0,9650,0,0,0,0,0,1
150000,moderate,university,married,34,midage,female,0,0,0,0,0,0,0,150294,147979,147235,147997,145405,146502,6750,6900,6690,5300,5500,5500,1
330000,high,graduateschool,single,33,midage,female,1,-2,-2,-1,2,2,0,-200,-200,-200,150,150,350,0,0,350,0,200,0,1
310000,high,university,single,35,midage,male,0,0,0,0,0,0,0,259636,263812,269351,276873,281764,299161,10000,9775,12000,11000,22000,9905,1
260000,high,university,married,44,senior,male,-1,-1,-1,-1,-1,-2,-1,11506,973,1183,2270,0,0,975,1186,2287,0,0,2580,1
300000,high,university,single,35,midage,female,0,0,0,0,0,0,0,291619,297268,205629,215827,208464,212508,12019,9006,17000,12000,9557,15000,1
20000,low,graduateschool,married,32,midage,male,2,0,0,0,0,2,1,12720,13451,14786,15532,16767,17104,1250,1554,1300,1500,750,0,0
230000,high,highschool,single,31,midage,male,0,-1,-1,-1,-1,-1,-1,4261,25,221,417,613,-191,1000,1000,1000,1000,0,0,1
200000,high,university,married,38,midage,male,0,0,0,0,0,0,0,152856,156104,158279,161934,165447,168802,6000,5000,5000,5000,4917,10000,1
20000,low,highschool,married,23,young,female,0,0,0,0,0,0,0,17589,18387,19157,19308,19486,19785,1313,1308,684,707,848,790,0
50000,low,university,single,23,young,male,0,0,2,0,-1,-1,0,17792,20036,18664,18416,416,416,2956,0,368,416,416,416,1
130000,moderate,university,married,42,senior,female,1,-2,-1,-1,-1,-2,-1,0,0,441,305,0,0,0,441,305,0,0,0,0
210000,high,university,single,32,midage,male,0,0,0,0,0,0,0,137264,102545,94692,70484,36308,33201,3664,3900,2868,3000,2000,2000,0
360000,high,university,married,32,midage,female,1,-2,-2,-2,-2,-2,-2,-301,-301,-301,-301,-301,-301,0,0,0,0,0,0,0
160000,moderate,graduateschool,single,34,midage,male,0,0,0,0,0,0,0,83255,83912,85161,85715,86773,87526,4000,3924,3200,3300,3425,3013,1
230000,high,graduateschool,single,44,senior,male,0,0,0,0,0,0,0,25949,27214,28472,29696,31393,33222,2000,2000,2000,2500,2500,3000,1
550000,high,graduateschool,single,35,midage,male,2,2,2,2,2,0,2,539092,552234,565550,572805,823540,501370,23000,23000,18000,0,18373,18159,1
230000,high,highschool,single,42,senior,female,1,-2,-1,-1,-1,-1,-1,0,0,324,0,2600,3007,0,324,0,2600,3407,200,0
20000,low,highschool,married,45,senior,female,2,0,0,0,0,0,0,14064,12451,11176,6934,11203,7737,3000,1006,144,10000,308,2000,0
50000,low,highschool,married,26,young,female,2,2,2,0,0,0,1,50002,51190,47959,49099,28540,29114,2330,0,2470,1215,1231,1000,0
30000,low,university,single,38,midage,male,0,0,2,2,2,2,1,29770,27400,28935,28934,30313,30330,6000,2273,780,2635,1033,611,1
260000,high,graduateschool,single,36,midage,female,1,2,2,2,2,2,2,2111,545,2332,1277,1996,1020,0,2007,0,1020,0,923,0
160000,moderate,graduateschool,single,29,young,female,-1,-1,2,-1,0,-1,0,1116,2599,1302,1852,736,3542,2599,0,1852,0,3542,0,0
360000,high,graduateschool,single,43,senior,male,-1,-1,-1,-1,-1,-1,-1,59,4465,300,966,1730,0,4465,300,966,1730,0,969,1
150000,moderate,graduateschool,single,34,midage,male,2,3,2,0,0,0,1,32355,31549,30759,32764,36229,79827,0,0,2535,5000,5000,3000,0
20000,low,university,single,23,young,male,1,2,0,0,2,0,1,20235,17132,16856,16875,13454,10104,0,1200,1000,0,1000,10000,0
280000,high,university,single,24,young,female,-1,-1,-1,-1,-1,-2,-1,1481,11884,-27,5443,-13,-13,11943,0,5470,0,0,0,0
210000,high,graduateschool,married,47,senior,male,-1,-1,-1,-1,-1,-1,-1,8417,15271,12803,13984,9958,13066,15271,12831,13996,9958,13066,6151,1
80000,moderate,highschool,single,25,young,male,0,0,0,0,0,0,0,80493,78736,71663,57571,58485,59655,3035,3021,2300,2500,2300,2500,1
30000,low,highschool,married,35,midage,female,2,0,0,0,0,0,0,28852,29777,29478,30290,27803,25762,1700,1700,1500,1500,1500,1500,0
160000,moderate,university,single,32,midage,male,0,0,0,0,-1,0,0,163695,153009,115096,76037,152837,156042,7000,5400,4082,163107,5668,5958,1
80000,moderate,university,single,29,young,male,1,2,0,0,0,0,0,75234,76417,76916,51070,52727,54847,3007,5090,2001,3000,3000,3000,1
210000,high,graduateschool,single,32,midage,female,-2,-2,-2,-2,-2,-2,-2,19959,1592,-2,560,6190,243,1603,0,562,6196,243,4061,1
200000,high,highschool,single,33,midage,male,-2,-2,-2,-2,-2,-2,-2,655,270,880,0,0,0,270,880,0,0,0,0,1
60000,low,university,single,27,young,male,2,0,0,2,0,0,1,58598,56486,60877,56138,56806,57935,2632,5924,0,2200,2200,2290,0
60000,low,unknown,single,22,young,female,0,0,0,0,0,0,0,61094,61260,55730,29846,28600,28970,3000,3000,2000,1500,1500,2000,1
50000,low,university,single,35,midage,male,0,0,0,0,0,0,0,49878,46785,41728,41163,29408,30047,1718,2070,1505,1500,1242,1300,1
180000,moderate,graduateschool,single,31,midage,male,-1,-1,-1,-1,-1,-1,-1,914,907,900,923,922,900,907,900,923,922,900,946,1
50000,low,university,single,32,midage,male,0,0,0,0,-2,-2,-1,50342,44659,40893,-45,-45,0,8025,5023,0,0,5250,0,1
30000,low,university,single,25,young,female,0,0,0,0,0,-2,0,15493,16427,17379,23100,0,0,1500,1279,10000,0,0,0,1
60000,low,university,single,23,young,female,0,0,0,0,0,0,0,57097,58134,58647,59619,57068,57668,2659,2190,2078,2002,2062,2072,0
320000,high,graduateschool,single,30,midage,female,-1,-1,-1,-1,-1,-2,-1,9646,13438,14833,1920,10516,10350,13442,14838,1920,10516,10350,43982,1
420000,high,graduateschool,married,32,midage,male,1,-2,-2,-2,-1,-1,-1,8120,2205,-94,6300,1047,67631,1011,0,6394,1047,67643,2005,1
390000,high,graduateschool,single,47,senior,male,1,-1,-1,-2,-1,-1,-1,0,3760,0,0,123,0,3760,0,0,123,0,0,1
70000,moderate,graduateschool,single,27,young,female,0,0,0,0,0,0,0,70844,64697,65455,66247,65230,66685,3000,2400,3000,2400,2500,2500,1
80000,moderate,university,single,26,young,female,0,0,0,0,0,0,0,77760,79248,120697,60989,41023,42663,3100,4700,4800,1200,3260,2000,0
150000,moderate,graduateschool,single,29,young,female,0,0,0,0,0,0,0,94062,65825,64041,60948,51510,46917,3183,3023,2549,2000,2000,2000,1
400000,high,university,single,29,young,male,0,0,0,0,0,0,0,237425,242225,246475,252429,257510,262931,8600,8000,9000,8200,8500,8500,0
50000,low,highschool,single,54,senior,male,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
50000,low,university,single,32,midage,male,0,0,0,0,0,0,0,48536,41045,41532,18646,19183,19214,3030,2124,646,828,1097,612,1
140000,moderate,graduateschool,single,25,young,female,0,0,0,0,0,0,0,23409,24725,26006,26771,28179,29746,2000,2000,1500,2000,2200,2000,1
80000,moderate,university,married,35,midage,female,2,2,2,0,0,2,1,22001,23339,22677,23692,25406,26050,2000,0,1395,2109,1196,0,0
450000,high,graduateschool,married,46,senior,female,-1,-1,-1,-1,-1,-1,-1,28205,3760,4148,2312,6909,4189,3793,4148,2312,6909,4189,1539,0
10000,low,university,single,29,young,male,2,2,2,2,3,2,2,5833,8162,8480,9089,8658,8372,2600,600,895,0,0,764,0
160000,moderate,university,married,31,midage,male,0,0,0,0,2,0,0,54835,46575,7169,9036,8749,9447,3500,2000,2000,0,1000,500,1
360000,high,highschool,married,55,senior,male,0,0,0,0,0,-2,0,23439,19112,10730,20530,987,837,5000,1200,10000,987,0,1017,1
140000,moderate,graduateschool,married,34,midage,male,0,0,0,0,0,0,0,23944,28049,32073,43129,47086,48699,5000,5000,11885,5000,3000,5504,1
60000,low,graduateschool,single,31,midage,female,0,0,0,0,2,0,0,32632,34099,35525,38820,38066,39681,2000,2000,3900,0,2400,1500,0
70000,moderate,highschool,married,45,senior,male,2,2,2,2,2,2,2,71586,71623,71020,67338,70769,68957,3100,3008,0,5100,2600,0,0
50000,low,university,single,33,midage,male,0,0,0,0,0,0,0,18844,20039,21076,20578,19046,18998,1500,1371,2000,2000,1000,1000,0
480000,high,highschool,married,41,senior,female,0,0,0,0,0,0,0,44018,74152,107675,110289,100520,37080,35176,45000,12022,14000,14000,10000,1
50000,low,highschool,married,42,senior,male,0,0,2,2,0,0,1,18838,22834,23553,22876,23328,24955,4650,1380,0,832,2000,0,1
280000,high,graduateschool,married,35,midage,female,-1,-1,-2,-2,-2,-2,-2,7147,2500,0,0,0,0,2500,0,0,0,0,0,1
20000,low,graduateschool,single,22,young,female,1,2,2,0,0,-2,0,21672,22031,21247,7475,0,0,1000,18,300,0,0,0,0
80000,moderate,university,married,44,senior,male,-1,-1,0,-1,0,0,0,1798,2302,1604,3612,2608,1604,2310,1100,3612,600,600,1631,1
380000,high,graduateschool,single,32,midage,male,0,0,0,0,0,0,0,387851,349973,689643,334456,329981,292421,13070,13000,26000,20095,11000,11000,1
50000,low,university,single,24,young,male,1,3,3,2,2,0,2,53890,54084,52026,51899,50836,47828,2200,0,1800,105,2300,1600,1
200000,high,university,single,35,midage,female,0,0,0,0,0,0,0,4585,5859,7763,8525,6843,2865,1500,2000,1000,518,1000,296,1
50000,low,university,single,45,senior,male,0,0,0,2,0,0,0,19834,19387,22574,20483,20121,20191,1340,5000,0,729,793,642,1
10000,low,highschool,single,22,young,male,1,4,3,2,2,2,2,8357,8085,7817,7545,8268,7993,0,0,0,1000,0,750,0
270000,high,graduateschool,single,26,young,female,1,-2,-1,-1,-2,-2,-1,0,0,6336,0,0,0,0,6336,0,0,0,0,1
80000,moderate,graduateschool,single,29,young,female,2,2,2,2,2,0,2,54313,57988,59271,60013,58453,60155,4600,2800,2300,0,2800,6300,1
80000,moderate,graduateschool,single,29,young,female,2,2,0,0,2,0,1,25248,24549,26823,29157,28389,29036,0,3000,2780,0,1100,1500,0
200000,high,graduateschool,single,26,young,male,0,0,0,0,0,0,0,50124,51122,52533,52772,53441,22246,1830,2235,1447,1069,445,9332,1
150000,moderate,university,single,50,senior,female,-1,-1,-1,-1,-1,-2,-1,7890,8958,780,7500,0,0,8958,780,7500,0,0,0,1
290000,high,graduateschool,married,37,midage,female,-1,-1,-1,-1,-1,-1,-1,3486,550,1922,550,550,3810,550,1922,550,550,3810,2927,0
30000,low,university,married,30,midage,female,0,0,0,0,2,0,0,24061,25156,25949,28478,27754,28186,1800,1500,3000,0,1001,2500,0
40000,low,graduateschool,single,24,young,female,-1,-1,-2,-2,-2,-2,-2,19133,0,0,0,0,0,0,0,0,0,0,0,1
160000,moderate,graduateschool,single,28,young,male,-1,-1,-1,0,0,-1,-1,3236,-524,3003,737,0,894,0,3740,0,0,894,0,1
20000,low,university,married,25,young,male,0,0,0,0,0,0,0,14447,15455,17562,17322,17119,17350,1552,2659,1419,606,500,1000,1
100000,moderate,university,single,50,senior,male,0,0,0,0,0,0,0,104466,96370,81293,66435,64975,66951,4000,3000,3000,3000,3000,3000,1
10000,low,university,single,27,young,female,2,0,0,0,0,0,0,6694,7546,8345,8688,8865,9046,1124,1207,1000,177,181,0,1
30000,low,graduateschool,single,24,young,male,2,2,0,0,0,0,1,16035,15493,16197,16669,16865,17199,0,1270,742,613,615,646,0
150000,moderate,graduateschool,married,39,senior,female,1,2,2,2,2,2,2,80762,77506,75239,71245,69214,24036,0,3700,0,2000,0,2000,0
30000,low,graduateschool,single,25,young,female,-1,2,-1,0,0,0,0,5285,4053,1405,3844,3427,417,0,1405,3427,0,0,984,0
80000,moderate,university,married,60,senior,male,2,2,2,2,2,2,2,48463,49484,50372,51246,52279,53069,2100,2000,2000,2000,1800,1000,0
220000,high,university,single,41,senior,female,0,0,0,0,0,0,0,32016,29052,23115,20354,7438,4887,2004,2009,5004,1000,1000,3000,0
100000,moderate,graduateschool,married,36,midage,male,0,0,0,0,0,0,0,23070,18806,20183,21540,25775,0,1700,2000,2000,5000,0,0,1
50000,low,university,single,25,young,male,2,0,0,0,0,0,0,48885,49133,48468,42840,30378,29706,2200,2500,2070,1266,2000,1068,0
20000,low,university,single,36,midage,male,0,0,0,0,0,-2,0,15198,19590,18514,30382,0,0,5000,2000,1000,6000,0,0,0
230000,high,graduateschool,single,28,young,male,0,0,0,0,0,0,0,29108,29240,30062,31253,31965,36782,1587,1409,10000,1193,6782,1026,1
150000,moderate,graduateschool,single,34,midage,male,0,0,0,0,0,0,0,62854,50558,52738,53747,55271,57250,5000,3000,2500,3000,3000,4870,1
380000,high,graduateschool,single,34,midage,male,-2,-2,-2,-2,-2,-2,-2,34869,6305,5736,900,16915,936,6336,5766,904,16915,940,0,1
210000,high,university,single,26,young,male,0,0,0,0,0,0,0,186109,168198,97223,202134,102844,39995,5929,3272,4362,5040,3195,105,1
50000,low,highschool,married,52,senior,male,-2,-1,2,-1,0,0,0,-11,46501,24458,37778,39124,38585,46512,159,37778,2000,2000,13144,1
20000,low,highschool,married,51,senior,female,1,2,0,0,0,0,0,15399,14859,15913,17033,17466,19635,0,1600,1700,1000,2600,0,0
10000,low,university,single,48,senior,female,1,2,-1,0,0,0,0,3133,1473,9196,8518,8690,7472,0,9196,1106,278,258,268,1
10000,low,highschool,single,23,young,male,0,0,0,0,0,0,0,7787,8412,9450,9414,5354,5275,1299,1337,1081,191,375,0,1
420000,high,graduateschool,single,35,midage,male,0,0,0,0,0,0,0,168182,163177,149406,136292,128344,120582,15000,6000,5000,10000,10000,10000,1
210000,high,graduateschool,single,31,midage,female,0,0,0,0,0,0,0,140839,119171,119680,118070,111841,111716,4500,6000,5102,5000,5000,4000,1
370000,high,university,married,39,senior,male,1,2,-1,2,-1,-1,0,3633,1746,3677,1746,1746,1746,0,3677,0,1746,1746,1746,1
230000,high,graduateschool,single,26,young,female,-1,-1,-2,-2,-2,-2,-2,3741,0,0,0,0,0,0,0,0,0,0,1010,0
350000,high,graduateschool,married,52,senior,female,2,2,7,7,7,7,5,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,0
320000,high,graduateschool,married,48,senior,male,-1,-1,-1,-1,-1,-2,-1,25840,13260,13217,17967,-13,-13,13326,13289,18064,0,0,0,1
140000,moderate,graduateschool,single,28,young,male,0,0,0,0,0,0,0,132880,133904,134552,135151,136327,136647,6400,7000,5000,5200,5100,5000,1
20000,low,highschool,single,24,young,male,0,0,0,0,0,0,0,19438,16944,17990,19671,19244,19443,1273,1319,2000,674,693,693,1
20000,low,university,single,49,senior,male,0,0,0,0,-1,-1,0,18260,19080,18871,17700,390,1320,1621,1292,1166,390,1320,0,0
200000,high,graduateschool,married,38,midage,male,-1,-1,-1,-1,-1,-1,-1,6186,735,1463,15550,5045,6709,735,1463,15550,5045,6709,3021,0
50000,low,university,married,49,senior,female,2,0,0,0,0,0,0,19169,20195,21207,21628,22233,22519,1341,1353,774,953,805,832,0
50000,low,university,single,22,young,female,3,2,0,0,0,0,1,50953,49363,49243,46382,47261,48219,8,3011,1264,2000,1159,1244,0
210000,high,graduateschool,single,29,young,female,0,0,0,0,0,0,0,205131,197019,196021,103522,145487,141876,10000,4720,50075,110000,10000,10000,1
90000,moderate,university,married,39,senior,female,0,0,0,0,0,0,0,45406,47337,48575,49667,51119,23344,3000,2000,2000,2000,2000,1087,1
260000,high,university,married,43,senior,male,0,0,0,0,0,0,0,175247,164173,152724,153527,153375,105491,8500,5950,4000,3000,6000,30588,0
30000,low,highschool,married,52,senior,male,0,0,0,0,0,0,0,28541,28889,30050,29797,18464,12235,1502,2002,1025,1230,1042,0,1
220000,high,university,married,35,midage,female,0,0,0,0,0,-1,0,228754,227903,93311,67900,64150,6000,10626,3600,3100,4000,6000,0,1
50000,low,highschool,married,30,midage,male,1,2,2,0,0,0,1,17479,18195,17614,18630,19000,19421,1300,0,1310,680,727,6000,0
50000,low,graduateschool,single,28,young,male,1,-2,-1,0,0,0,0,0,0,16248,17105,16842,21842,0,16248,1600,337,5000,5000,1
260000,high,graduateschool,single,33,midage,male,-1,-1,-1,-2,-1,-1,-1,1025,799,-1,-1,358,492,803,0,0,359,494,0,1
60000,low,university,married,39,senior,male,-1,0,0,0,0,0,0,14085,14575,18423,13099,14537,16928,2000,5000,4000,2000,5000,2000,1
180000,moderate,highschool,0,36,midage,female,-1,-1,-1,-1,-1,-1,-1,326,326,326,326,326,326,326,326,326,326,326,326,1
160000,moderate,university,single,24,young,male,0,0,0,0,0,0,0,77838,76054,73992,73246,71321,141494,3300,3275,3000,3000,3000,3500,1
20000,low,highschool,married,62,senior,male,2,3,2,2,2,2,2,17072,16505,17242,16668,17972,18316,0,1300,0,1586,780,800,1
30000,low,university,single,28,young,male,0,0,0,0,0,-2,0,26054,25144,25775,18585,0,0,2000,2000,2000,0,0,0,1
300000,high,graduateschool,married,33,midage,male,-1,-1,-1,-1,-1,-2,-1,250,1280,0,320,0,0,1280,0,320,0,0,0,1
50000,low,university,married,34,midage,male,0,0,0,0,0,0,0,45459,45695,45866,46165,10142,10825,2000,3000,2200,1200,1000,1000,1
50000,low,graduateschool,single,22,young,male,0,0,2,0,0,0,0,47726,51161,48310,50332,47492,50782,5500,0,3000,3000,5000,0,0
50000,low,highschool,married,58,senior,male,2,2,2,0,0,2,1,15899,18720,18122,18530,19089,18856,3400,0,1000,1001,634,638,1
100000,moderate,university,married,44,senior,male,2,2,2,2,3,2,2,59586,60842,61749,65130,63816,65011,2800,2500,5000,0,2400,2400,0
20000,low,university,single,22,young,male,-1,0,0,0,0,0,0,17676,18833,19002,18982,13762,0,1451,1400,380,0,0,0,0
50000,low,university,married,26,young,female,1,2,2,2,2,2,2,16919,17854,18265,20455,19986,21747,1500,1000,2500,0,2100,0,1
100000,moderate,university,single,35,midage,male,0,0,0,0,0,0,0,61378,62756,64147,65910,61018,62878,3000,3000,3500,3000,3000,3000,1
50000,low,graduateschool,married,49,senior,male,1,2,2,0,0,0,1,48518,49244,45385,17912,31278,14818,1800,82,1500,10000,1062,549,1
390000,high,graduateschool,single,35,midage,male,-1,-1,-1,0,0,0,0,30356,32910,78686,63021,41653,24679,33074,78772,1371,919,13770,183622,1
520000,high,graduateschool,single,29,young,male,0,0,0,0,0,0,0,464541,388685,280101,184081,108330,89199,15521,10423,7215,4012,3017,3028,1
60000,low,highschool,married,44,senior,female,2,0,0,0,0,0,0,32202,29503,29538,29971,29798,28679,1802,1737,1170,1189,1230,1100,0
30000,low,graduateschool,single,31,midage,male,0,0,0,0,0,0,0,28398,18550,13198,13222,14620,17376,2081,1196,1000,2000,3000,5000,1
70000,moderate,university,single,22,young,female,2,2,2,2,0,0,1,64838,69136,69422,65107,28736,29221,6000,2000,55,1170,1100,1170,1
60000,low,graduateschool,married,38,midage,male,2,2,2,0,0,0,1,59310,60482,58748,49375,38433,38378,2700,0,2100,1600,1600,1600,1
240000,high,graduateschool,married,43,senior,male,0,0,0,0,0,0,0,223151,226688,230690,213633,176135,179027,7766,8300,7200,6200,6550,6107,0
60000,low,highschool,single,28,young,female,-1,-1,0,0,0,0,0,396,43902,44802,42984,38495,39038,87804,2000,1567,1320,1500,2000,1
50000,low,university,married,57,senior,male,4,3,2,0,0,0,2,51187,50106,48608,19600,20000,0,0,0,392,400,0,0,1
60000,low,university,married,42,senior,female,0,0,0,2,2,2,1,56166,58022,61331,55566,59331,60569,2760,4941,0,4675,2361,0,0
240000,high,university,single,30,midage,male,0,0,0,0,0,-1,0,151127,155421,154926,148681,24105,9770,10000,10000,300,1000,9770,18037,1
340000,high,unknown,single,30,midage,female,0,0,0,0,0,-1,0,47001,47664,38192,39234,20960,360,2000,2000,2000,3000,360,360,1
210000,high,university,married,33,midage,female,0,0,0,0,0,-1,0,8770,10972,22610,10161,5933,4164,6000,15042,5000,0,4164,816,0
150000,moderate,graduateschool,married,55,senior,male,1,-1,-1,0,-1,-1,0,0,780,4639,100940,3284,2090,780,4639,100000,3284,2576,2576,1
50000,low,highschool,married,55,senior,male,2,0,0,0,0,0,0,42166,43687,44121,43360,40555,31309,2200,1632,1113,1336,3142,2126,0
30000,low,graduateschool,married,47,senior,male,2,2,8,8,8,8,6,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,0
380000,high,graduateschool,married,42,senior,female,2,-1,-1,-1,0,-1,0,326,326,326,652,326,29326,326,326,652,0,29326,326,0
260000,high,university,single,32,midage,male,0,0,0,0,0,0,0,106093,95060,90948,84986,84491,72248,4410,6500,9500,10000,9000,8000,1
210000,high,university,married,33,midage,female,-1,-1,-1,-2,-2,-2,-2,1971,748,0,0,0,0,822,0,0,0,0,0,0
50000,low,highschool,married,55,senior,female,1,2,2,2,0,0,1,49003,49067,50498,47579,47567,48155,2005,3900,0,2000,1900,1900,1
150000,moderate,highschool,married,45,senior,male,-1,0,-1,-1,-1,-1,-1,29169,15000,15000,0,15000,0,1000,15000,0,15000,0,0,1
90000,moderate,graduateschool,married,29,young,female,0,0,0,0,0,0,0,45343,31228,29756,27751,20292,14937,2967,2007,1429,1092,412,263,1
190000,moderate,graduateschool,single,28,young,female,2,2,2,2,2,2,2,155335,159438,163684,166163,168592,171923,8000,8150,6500,6500,6000,0,0
50000,low,university,married,43,senior,male,0,0,0,0,0,0,0,28287,28924,29521,29876,30201,15611,1485,1472,1217,1347,558,550,1
210000,high,university,married,39,senior,female,-1,-1,-1,0,0,-1,-1,836,4247,17162,12949,12023,7324,4278,17213,6015,2083,7360,12142,1
310000,high,university,married,35,midage,male,-2,-2,-2,-2,-2,-2,-2,-354,-354,-354,-354,-354,-354,0,0,0,0,0,352,1
20000,low,university,married,31,midage,male,0,0,0,0,0,0,0,17766,18806,19772,18940,18587,20352,1630,1596,664,838,2241,0,1
260000,high,graduateschool,single,33,midage,female,-2,-1,-1,-1,0,0,-1,0,204,-810,2190,810,0,204,0,3000,0,0,0,1
30000,low,graduateschool,single,23,young,female,0,0,0,2,2,2,1,29064,27368,30475,27808,31208,30582,2000,5026,0,4000,0,1500,1
30000,low,graduateschool,single,27,young,female,0,0,0,0,0,0,0,3812,5744,8642,11492,14285,17056,2000,3000,3000,3000,3000,1000,1
130000,moderate,university,single,33,midage,female,0,0,0,0,0,0,0,79579,70067,63951,57467,51614,46071,2702,2207,2000,1717,1770,1245,1
190000,moderate,graduateschool,married,55,senior,male,-1,-1,-1,-1,-1,-1,-1,5928,9770,8032,30,240,540,9770,8034,0,600,690,742,1
60000,low,university,married,41,senior,male,0,0,0,0,0,0,0,95648,56259,49425,16941,13349,14826,5000,4731,2000,10000,3000,5000,1
60000,low,graduateschool,married,49,senior,female,0,0,0,0,0,0,0,61618,61382,34958,33760,32946,0,2800,1400,675,659,0,3353,1
90000,moderate,graduateschool,single,27,young,female,0,0,0,0,0,0,0,14421,18846,22509,24129,24815,27725,5000,4000,2000,1075,3500,3000,0
